trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
105,False,"{'a': 0.05, 'e': 0.47499999999999953}",25,6,10.86163739190634,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.05, 'e': 0.46999999999999953}",30,-22,-84.03797692418857,"{0: 43, 1: 1, 2: 6, 3: 0, 4: 2}",0
107,False,"{'a': 0.05, 'e': 0.4649999999999995}",25,-8,-63.666082018913535,"{0: 27, 1: 1, 2: 2, 3: 2, 4: 1}",0
108,False,"{'a': 0.05, 'e': 0.4599999999999995}",25,15,-39.594991491525136,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.05, 'e': 0.4549999999999995}",25,15,-12.259894540413596,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.05, 'e': 0.4499999999999995}",20,10,1.0723602340239238,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.05, 'e': 0.4449999999999995}",25,-13,-77.42377913834376,"{0: 28, 1: 3, 2: 5, 3: 1, 4: 1}",0
112,False,"{'a': 0.05, 'e': 0.4399999999999995}",25,19,11.91954157947615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.05, 'e': 0.4349999999999995}",30,16,-6.791293106526676,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.05, 'e': 0.4299999999999995}",25,7,-67.51535582971319,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
115,False,"{'a': 0.05, 'e': 0.4249999999999995}",20,11,-13.32345023257357,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
116,False,"{'a': 0.05, 'e': 0.4199999999999995}",20,16,6.118882426233519,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.05, 'e': 0.4149999999999995}",20,6,-27.843257075401542,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.05, 'e': 0.4099999999999995}",25,-20,-104.68461298900722,"{0: 38, 1: 3, 2: 0, 3: 0, 4: 4}",0
119,False,"{'a': 0.05, 'e': 0.40499999999999947}",25,-7,-41.51273178450403,"{0: 26, 1: 1, 2: 4, 3: 0, 4: 1}",0
120,False,"{'a': 0.05, 'e': 0.39999999999999947}",20,8,-24.38750655662917,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.05, 'e': 0.39499999999999946}",20,15,3.894640006376644,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.05, 'e': 0.38999999999999946}",20,4,-26.458307112835133,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
123,False,"{'a': 0.05, 'e': 0.38499999999999945}",20,-1,-32.029803975193076,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.05, 'e': 0.37999999999999945}",30,-8,-69.77780016659307,"{0: 28, 1: 1, 2: 7, 3: 2, 4: 0}",0
125,False,"{'a': 0.05, 'e': 0.37499999999999944}",25,-20,-11.55900515400863,"{0: 40, 1: 0, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.05, 'e': 0.36999999999999944}",20,2,-92.34591595860914,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
127,False,"{'a': 0.05, 'e': 0.36499999999999944}",20,15,10.172719246379838,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.05, 'e': 0.35999999999999943}",20,13,0.4098912062832816,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.05, 'e': 0.3549999999999994}",20,-9,-67.7373192865226,"{0: 23, 1: 3, 2: 1, 3: 0, 4: 2}",0
130,False,"{'a': 0.05, 'e': 0.3499999999999994}",25,-7,-83.53503574983107,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 3}",0
131,False,"{'a': 0.05, 'e': 0.3449999999999994}",25,3,-107.84800084999532,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 2}",1
132,False,"{'a': 0.05, 'e': 0.3399999999999994}",35,24,-7.330760322774237,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.05, 'e': 0.3349999999999994}",20,13,-11.935596415118079,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.05, 'e': 0.3299999999999994}",25,-8,-66.58028147417356,"{0: 26, 1: 1, 2: 3, 3: 2, 4: 1}",0
135,False,"{'a': 0.05, 'e': 0.3249999999999994}",30,13,11.903175224345187,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.05, 'e': 0.3199999999999994}",20,-7,-47.5905942270026,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 2}",0
137,False,"{'a': 0.05, 'e': 0.3149999999999994}",20,9,19.379622441758922,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.05, 'e': 0.3099999999999994}",20,-2,-94.7454554085024,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 1}",0
139,False,"{'a': 0.05, 'e': 0.3049999999999994}",30,-6,6.7572906972397355,"{0: 30, 1: 3, 2: 3, 3: 0, 4: 0}",0
140,False,"{'a': 0.05, 'e': 0.2999999999999994}",20,11,-7.517726149162332,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.05, 'e': 0.2949999999999994}",20,2,-2.8746788037550064,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
142,False,"{'a': 0.05, 'e': 0.28999999999999937}",20,-52,-83.84203180836221,"{0: 64, 1: 3, 2: 1, 3: 0, 4: 4}",0
143,False,"{'a': 0.05, 'e': 0.28499999999999936}",30,-8,-10.2427368132013,"{0: 32, 1: 3, 2: 1, 3: 2, 4: 0}",0
144,False,"{'a': 0.05, 'e': 0.27999999999999936}",20,3,2.785242096531724,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.05, 'e': 0.27499999999999936}",25,-14,-36.433155729683776,"{0: 33, 1: 2, 2: 2, 3: 1, 4: 1}",0
146,False,"{'a': 0.05, 'e': 0.26999999999999935}",20,3,1.1222273365269446,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.05, 'e': 0.26499999999999935}",25,3,-17.498032111397464,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.25999999999999934}",30,12,12.842918355147404,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
